comments,disposition,incident,location,occurred,predicted_incident,reported,reported_date,season,ucpd_id,validated_address,validated_location
Patient's wallet was taken,Open,Theft,5656 S. Maryland Ave. (UCMED),5/30/25 6:30 PM to 7:45 PM,,2025-05-30 20:19:00-05:00,2025-05-30,Spring,25-00648,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
Parked vehicle struck by another vehicle / Driver fled the scene,Open,Traffic Crash / Property Damage / Hit and Run,5800 S. Woodlawn Ave. (Public Way),5/30/25 3:15 PM to 5:45 PM,,2025-05-30 19:15:00-05:00,2025-05-30,Spring,25-00650,"5800 S Woodlawn Ave, Chicago, Il, 60637",[ 41.78956181 -87.59648917]
An unknown subject unlawfully entered victim's off-campus residence and took property / Referred to CPD,Referred,Information / Burglary,S. Kenwood Ave. between E. 54th St. and E. 55th St.,5/30/25 3:45 PM,,2025-05-30 18:10:00-05:00,2025-05-30,Spring,2025-023454,"5420 South Kenwood Avenue, Chicago, Il 60615",[ 41.7972157 -87.5940677]
An unauthorized subject loitering in the building was given an official trespass warning and escorted off the premises,Closed,Information,5640 S. Ellis Ave. (Eckhardt Research),5/30/25 4:00 PM,Damage to UC Vehicle,2025-05-30 16:07:00-05:00,2025-05-30,Spring,25-00646,"5640 S Ellis Ave, Chicago, Il, 60637",[ 41.79245748 -87.60140446]
A person was transported to UCMED by CFD EMS for evaluation,Closed,Medical Transport,5500 S. University Ave. (Campus North RH),5/30/25 1:35 PM,,2025-05-30 13:37:00-05:00,2025-05-30,Spring,25-00645,"5500 S University Ave, Chicago, Il, 60637",[ 41.79501825 -87.5981983 ]
A person was transported to UCMED by CFD EMS for evaluation,Closed,Medical Transport,1554 E. 55th St. (Walgreens),5/30/25 8:24 AM,,2025-05-30 08:24:00-05:00,2025-05-30,Spring,25-00644,"1554 E 55th St, Chicago, Il, 60615",[ 41.79529345 -87.58874456]
2023 Chevy parked on the street was taken by unknown suspect(s),Open,Motor Vehicle Theft,5717 S. Cottage Grove Ave. (Public Way),5/29/25 to 5/30/25 10:00 PM to 5:15 AM,,2025-05-30 07:26:00-05:00,2025-05-30,Spring,25-00643,"5717 S Cottage Grove Ave, Chicago, Il, 60637",[ 41.79119347 -87.60607332]
Two locks were cut on construction security gate,Open,Damage to Property,5850 S. Woodlawn Ave. (Construction Site),5/29/25 to 5/30/25 4:15 PM to 6:30 AM,,2025-05-30 06:34:00-05:00,2025-05-30,Spring,25-00642,"5850 S Woodlawn Ave, Chicago, Il, 60637",[ 41.78869292 -87.59647028]
UCPD officers recovered an unoccupied vehicle parked on the street,Closed,Recovered Vehicle,5332 S. Maryland Ave. (Public Way),5/29/25 2:40 AM,,2025-05-30 02:00:00-05:00,2025-05-30,Spring,25-00641,"5332 S Maryland Ave, Chicago, Il, 60615",[ 41.7978325  -87.60518952]
Unknown suspect struck victim with a fist on the sidewalk off-campus,Open,Battery,5490 S. Cottage Grove Ave. (Public Way),5/29/25 9:45 PM,,2025-05-29 21:51:00-05:00,2025-05-29,Spring,25-00640,"5490 S Cottage Grove Ave, Chicago, Il, 60615",[ 41.7951625  -87.60629838]
